Epoch,Time,Loss,ACC
[0][75/88],12.205,0.833,0.780
[0][76/88],10.362,0.262,0.920
[0][77/88],12.030,1.068,0.780
[0][78/88],10.686,0.589,0.860
[0][79/88],11.631,0.752,0.840
[0][80/88],11.069,0.435,0.840
[0][81/88],10.776,0.379,0.900
[0][82/88],11.201,0.770,0.840
[0][83/88],12.020,0.397,0.860
[0][84/88],10.952,0.663,0.880
[0][85/88],12.601,0.437,0.900
[0][86/88],11.509,0.310,0.900
[0][87/88],11.895,0.980,0.800
[0][88/88],1.044,0.823,0.500
[1][1/88],9.129,0.674,0.840
[1][2/88],9.848,0.805,0.720
[1][3/88],9.212,0.640,0.840
[1][4/88],10.016,0.657,0.820
[1][5/88],8.948,0.383,0.820
[1][6/88],10.956,0.474,0.820
[1][7/88],10.014,0.779,0.740
[1][8/88],9.568,0.607,0.820
[1][9/88],9.537,0.473,0.920
[1][10/88],9.194,0.495,0.860
[1][11/88],10.086,0.747,0.840
[1][12/88],10.208,0.687,0.720
[1][13/88],10.933,0.875,0.740
[1][14/88],9.827,0.403,0.900
[1][15/88],10.798,0.483,0.880
[1][16/88],9.049,0.474,0.880
[1][17/88],12.175,0.797,0.800
[1][18/88],10.209,0.475,0.880
[1][19/88],9.561,0.707,0.800
[1][20/88],9.695,0.511,0.840
[1][21/88],10.361,0.459,0.820
[1][22/88],11.641,0.626,0.860
[1][23/88],10.292,0.294,0.920
[1][24/88],10.424,0.162,0.940
[1][25/88],9.533,0.671,0.800
[1][26/88],10.838,0.627,0.900
[1][27/88],10.442,0.591,0.840
[1][28/88],11.403,0.503,0.820
[1][29/88],10.975,0.472,0.860
[1][30/88],10.998,0.448,0.820
[1][31/88],11.069,0.535,0.800
[1][32/88],11.559,0.486,0.820
[1][33/88],9.384,0.759,0.820
[1][34/88],11.307,0.309,0.920
[1][35/88],10.660,0.449,0.860
[1][36/88],10.573,0.719,0.820
[1][37/88],10.757,0.576,0.840
[1][38/88],10.712,1.093,0.740
[1][39/88],12.186,0.413,0.860
[1][40/88],11.491,0.396,0.860
[1][41/88],11.010,0.522,0.820
[1][42/88],11.688,0.459,0.880
[1][43/88],10.949,0.418,0.880
[1][44/88],11.305,0.214,0.880
[1][45/88],12.420,0.319,0.900
[1][46/88],11.655,0.298,0.900
[1][47/88],11.642,0.235,0.920
[1][48/88],10.839,0.780,0.800
[1][49/88],11.690,0.239,0.900
[1][50/88],10.324,0.786,0.840
[1][51/88],10.719,0.276,0.900
[1][52/88],10.754,0.363,0.860
[1][53/88],10.821,0.319,0.880
[1][54/88],13.305,0.553,0.860
[1][55/88],12.179,0.587,0.820
[1][56/88],11.522,0.262,0.920
[1][57/88],11.260,0.413,0.900
[1][58/88],10.858,0.212,0.920
[1][59/88],11.282,0.629,0.820
[1][60/88],10.516,0.705,0.820
[1][61/88],12.668,0.475,0.840
[1][62/88],11.230,0.371,0.880
[1][63/88],10.974,0.272,0.880
[1][64/88],11.400,0.343,0.920
[1][65/88],12.043,0.310,0.880
[1][66/88],11.734,0.519,0.880
[1][67/88],11.054,0.592,0.780
[1][68/88],12.590,0.267,0.880
[1][69/88],11.800,0.408,0.880
[1][70/88],12.297,0.620,0.900
[1][71/88],12.449,0.328,0.920
[1][72/88],11.754,0.458,0.900
[1][73/88],12.524,0.433,0.820
[1][74/88],10.690,0.314,0.920
[1][75/88],11.823,0.189,0.920
[1][76/88],12.068,0.711,0.860
[1][77/88],12.080,0.312,0.880
[1][78/88],11.706,0.480,0.820
[1][79/88],12.937,0.568,0.820
[1][80/88],11.871,0.369,0.860
[1][81/88],12.833,0.279,0.920
[1][82/88],11.492,0.474,0.840
[1][83/88],12.699,0.425,0.880
[1][84/88],12.322,0.490,0.840
[1][85/88],11.578,0.291,0.920
[1][86/88],12.238,0.518,0.840
[1][87/88],11.664,0.278,0.840
[1][88/88],0.944,0.078,1.000
[2][1/88],8.466,0.255,0.900
[2][2/88],9.677,0.426,0.880
[2][3/88],10.141,0.591,0.840
[2][4/88],11.825,0.304,0.920
[2][5/88],10.346,0.622,0.820
[2][6/88],10.216,0.244,0.940
[2][7/88],9.773,0.367,0.860
[2][8/88],9.955,0.420,0.920
[2][9/88],10.689,0.753,0.840
[2][10/88],9.615,0.584,0.820
[2][11/88],9.558,0.406,0.880
[2][12/88],10.533,0.316,0.860
[2][13/88],11.207,0.295,0.920
[2][14/88],9.812,0.337,0.840
[2][15/88],10.906,0.401,0.840
[2][16/88],9.355,0.530,0.840
[2][17/88],10.250,0.299,0.860
[2][18/88],9.238,0.217,0.900
[2][19/88],9.117,0.268,0.940
[2][20/88],11.412,0.433,0.900
[2][21/88],9.991,0.218,0.920
[2][22/88],11.599,0.219,0.940
[2][23/88],10.395,0.376,0.860
[2][24/88],11.119,0.146,0.940
[2][25/88],10.588,0.369,0.900
[2][26/88],10.857,0.238,0.880
[2][27/88],9.518,0.691,0.800
[2][28/88],10.741,0.401,0.860
[2][29/88],11.560,0.226,0.880
[2][30/88],10.951,0.334,0.920
[2][31/88],10.350,0.307,0.880
[2][32/88],11.518,0.469,0.840
[2][33/88],10.401,0.296,0.880
[2][34/88],10.282,0.271,0.880
[2][35/88],11.921,0.390,0.920
[2][36/88],10.777,0.313,0.900
[2][37/88],12.050,0.241,0.880
[2][38/88],10.613,0.361,0.880
[2][39/88],11.258,0.163,0.960
[2][40/88],11.345,0.231,0.940
[2][41/88],11.241,0.479,0.900
[2][42/88],11.175,0.550,0.860
[2][43/88],11.542,0.669,0.820
[2][44/88],11.684,0.907,0.720
[2][45/88],10.991,0.245,0.920
[2][46/88],10.570,0.204,0.900
[2][47/88],11.681,0.238,0.920
[2][48/88],10.455,0.462,0.880
[2][49/88],10.685,0.326,0.900
[2][50/88],11.102,0.439,0.860
[2][51/88],11.126,0.534,0.920
[2][52/88],10.847,0.359,0.840
[2][53/88],11.808,0.433,0.880
[2][54/88],12.574,0.367,0.900
[2][55/88],10.842,0.224,0.920
[2][56/88],11.306,0.237,0.900
[2][57/88],10.914,0.310,0.880
[2][58/88],11.186,0.113,0.980
[2][59/88],12.206,0.223,0.920
[2][60/88],11.575,0.488,0.820
[2][61/88],11.168,0.419,0.880
[2][62/88],11.781,0.548,0.860
[2][63/88],11.658,0.257,0.920
[2][64/88],11.011,0.252,0.900
[2][65/88],11.963,0.248,0.920
[2][66/88],12.215,0.461,0.820
[2][67/88],10.853,0.312,0.860
[2][68/88],13.130,0.631,0.840
[2][69/88],11.281,0.477,0.780
[2][70/88],10.643,0.275,0.960
[2][71/88],11.657,0.422,0.900
[2][72/88],12.698,0.368,0.840
[2][73/88],11.666,0.335,0.920
[2][74/88],11.713,0.264,0.940
[2][75/88],11.574,0.345,0.920
[2][76/88],11.964,0.463,0.860
[2][77/88],10.965,0.225,0.920
[2][78/88],11.559,0.283,0.880
[2][79/88],12.746,0.247,0.900
[2][80/88],12.252,0.456,0.900
[2][81/88],12.058,0.421,0.880
[2][82/88],12.065,0.401,0.900
[2][83/88],10.163,0.389,0.840
[2][84/88],11.085,0.377,0.860
[2][85/88],12.082,0.214,0.900
[2][86/88],11.620,0.477,0.860
[2][87/88],11.559,0.302,0.900
[2][88/88],0.613,0.056,1.000
[3][1/88],10.042,0.313,0.900
[3][2/88],8.719,0.374,0.900
[3][3/88],10.349,0.420,0.860
[3][4/88],10.014,0.123,0.960
[3][5/88],9.424,0.565,0.860
[3][6/88],10.685,0.365,0.860
[3][7/88],10.217,0.208,0.920
[3][8/88],9.027,0.293,0.940
[3][9/88],10.219,0.350,0.860
[3][10/88],9.786,0.528,0.880
[3][11/88],10.306,0.250,0.920
[3][12/88],9.416,0.248,0.940
[3][13/88],10.570,0.451,0.840
[3][14/88],10.424,0.233,0.920
[3][15/88],9.766,0.391,0.880
[3][16/88],10.145,0.224,0.940
[3][17/88],8.695,0.360,0.840
