Epoch,Time,Loss,ACC
[22][73/88],11.407,0.252,0.880
[22][74/88],11.789,0.096,0.980
[22][75/88],11.841,0.320,0.900
[22][76/88],12.186,0.261,0.940
[22][77/88],12.255,0.181,0.920
[22][78/88],11.430,0.191,0.940
[22][79/88],11.561,0.111,0.960
[22][80/88],11.317,0.244,0.900
[22][81/88],12.431,0.187,0.980
[22][82/88],11.653,0.395,0.800
[22][83/88],10.923,0.319,0.880
[22][84/88],12.922,0.287,0.920
[22][85/88],12.169,0.378,0.860
[22][86/88],11.459,0.271,0.880
[22][87/88],11.999,0.138,0.980
[22][88/88],0.819,0.049,1.000
[23][1/88],10.544,0.261,0.880
[23][2/88],10.332,0.117,0.960
[23][3/88],10.761,0.207,0.940
[23][4/88],10.551,0.121,0.960
[23][5/88],10.149,0.125,0.980
[23][6/88],10.995,0.155,0.940
[23][7/88],10.950,0.141,0.940
[23][8/88],9.745,0.251,0.920
[23][9/88],9.019,0.091,1.000
[23][10/88],10.035,0.216,0.940
[23][11/88],9.097,0.143,0.980
[23][12/88],10.575,0.278,0.940
[23][13/88],10.307,0.203,0.920
[23][14/88],10.552,0.175,0.940
[23][15/88],11.230,0.311,0.900
[23][16/88],11.337,0.205,0.960
[23][17/88],10.655,0.102,0.980
[23][18/88],10.634,0.202,0.960
[23][19/88],10.978,0.179,0.940
[23][20/88],11.222,0.383,0.840
[23][21/88],11.989,0.243,0.940
[23][22/88],10.688,0.335,0.820
[23][23/88],10.429,0.284,0.920
[23][24/88],11.820,0.388,0.880
[23][25/88],10.229,0.153,0.940
[23][26/88],11.488,0.173,0.940
[23][27/88],11.068,0.196,0.980
[23][28/88],10.224,0.229,0.940
[23][29/88],10.482,0.397,0.880
[23][30/88],10.722,0.133,0.940
[23][31/88],10.084,0.439,0.880
[23][32/88],11.678,0.216,0.900
[23][33/88],11.326,0.216,0.920
[23][34/88],11.854,0.210,0.920
[23][35/88],11.205,0.136,0.940
[23][36/88],11.489,0.299,0.900
[23][37/88],10.733,0.239,0.940
[23][38/88],11.481,0.273,0.880
[23][39/88],12.247,0.297,0.900
[23][40/88],11.521,0.524,0.800
[23][41/88],11.357,0.084,0.980
[23][42/88],11.669,0.245,0.940
[23][43/88],11.318,0.262,0.900
[23][44/88],12.389,0.163,0.960
[23][45/88],11.078,0.153,0.960
[23][46/88],11.860,0.251,0.880
[23][47/88],11.554,0.262,0.940
[23][48/88],11.098,0.345,0.920
[23][49/88],11.016,0.243,0.900
[23][50/88],12.647,0.336,0.840
[23][51/88],10.255,0.182,0.920
[23][52/88],11.243,0.224,0.940
[23][53/88],11.923,0.187,0.940
[23][54/88],11.018,0.071,1.000
[23][55/88],11.647,0.327,0.880
[23][56/88],11.057,0.326,0.880
[23][57/88],10.453,0.466,0.840
[23][58/88],11.770,0.227,0.920
[23][59/88],11.035,0.228,0.900
[23][60/88],11.605,0.383,0.860
[23][61/88],12.172,0.218,0.920
[23][62/88],11.884,0.249,0.900
[23][63/88],10.504,0.179,0.900
[23][64/88],11.102,0.340,0.880
[23][65/88],10.680,0.238,0.940
[23][66/88],12.293,0.201,0.940
[23][67/88],12.112,0.281,0.880
[23][68/88],11.126,0.171,0.920
[23][69/88],12.148,0.116,0.940
[23][70/88],10.973,0.251,0.880
[23][71/88],12.214,0.316,0.880
[23][72/88],11.070,0.264,0.920
[23][73/88],12.121,0.250,0.920
[23][74/88],12.413,0.250,0.880
[23][75/88],10.618,0.137,0.960
[23][76/88],12.506,0.321,0.900
[23][77/88],11.625,0.286,0.880
[23][78/88],12.644,0.237,0.940
[23][79/88],12.879,0.296,0.880
[23][80/88],11.647,0.166,0.940
[23][81/88],12.675,0.131,0.960
[23][82/88],12.904,0.119,0.960
[23][83/88],11.397,0.147,0.940
[23][84/88],11.807,0.421,0.820
[23][85/88],10.689,0.165,0.940
[23][86/88],11.338,0.228,0.920
[23][87/88],11.857,0.201,0.960
[23][88/88],0.946,0.067,1.000
[24][1/88],9.925,0.175,0.940
[24][2/88],10.023,0.362,0.900
[24][3/88],10.484,0.267,0.900
[24][4/88],9.995,0.251,0.940
[24][5/88],8.764,0.102,0.980
[24][6/88],9.472,0.210,0.920
[24][7/88],12.277,0.145,0.980
[24][8/88],10.321,0.197,0.940
[24][9/88],11.156,0.213,0.900
[24][10/88],10.983,0.183,0.980
[24][11/88],9.712,0.278,0.880
[24][12/88],10.108,0.212,0.920
[24][13/88],10.747,0.325,0.860
[24][14/88],10.878,0.224,0.900
[24][15/88],9.160,0.106,0.980
[24][16/88],11.062,0.295,0.880
[24][17/88],11.462,0.121,0.940
[24][18/88],10.746,0.262,0.900
[24][19/88],11.950,0.320,0.880
[24][20/88],11.642,0.148,0.940
[24][21/88],11.134,0.308,0.900
[24][22/88],11.036,0.206,0.940
[24][23/88],10.044,0.223,0.940
[24][24/88],10.721,0.149,0.960
[24][25/88],11.522,0.209,0.920
[24][26/88],10.787,0.564,0.800
[24][27/88],9.982,0.436,0.840
[24][28/88],10.740,0.377,0.860
[24][29/88],10.462,0.214,0.900
[24][30/88],11.512,0.276,0.880
[24][31/88],11.253,0.100,0.980
[24][32/88],10.320,0.232,0.940
[24][33/88],11.265,0.290,0.900
[24][34/88],11.131,0.214,0.900
[24][35/88],11.124,0.218,0.920
[24][36/88],10.619,0.413,0.920
[24][37/88],11.642,0.124,0.960
[24][38/88],11.271,0.303,0.880
[24][39/88],10.504,0.128,0.960
[24][40/88],11.388,0.213,0.900
[24][41/88],11.921,0.222,0.880
[24][42/88],13.183,0.252,0.920
[24][43/88],10.684,0.171,0.980
[24][44/88],10.084,0.154,0.960
[24][45/88],11.627,0.151,0.960
[24][46/88],11.172,0.306,0.900
[24][47/88],10.869,0.186,0.940
[24][48/88],11.458,0.196,0.900
[24][49/88],10.618,0.170,0.940
[24][50/88],10.898,0.172,0.920
[24][51/88],11.132,0.236,0.920
[24][52/88],10.934,0.372,0.840
[24][53/88],12.390,0.235,0.920
[24][54/88],11.789,0.172,0.940
[24][55/88],11.482,0.132,1.000
[24][56/88],11.127,0.166,0.940
[24][57/88],12.310,0.233,0.880
[24][58/88],11.425,0.407,0.940
[24][59/88],12.374,0.249,0.900
[24][60/88],11.201,0.237,0.940
[24][61/88],11.499,0.286,0.900
[24][62/88],11.856,0.466,0.860
[24][63/88],11.043,0.161,0.960
[24][64/88],11.508,0.153,0.940
[24][65/88],11.653,0.157,0.980
[24][66/88],12.020,0.299,0.900
[24][67/88],11.837,0.203,0.940
[24][68/88],11.944,0.157,0.960
[24][69/88],12.526,0.190,0.940
[24][70/88],12.207,0.246,0.900
[24][71/88],11.813,0.219,0.900
[24][72/88],11.491,0.339,0.900
[24][73/88],13.064,0.187,0.900
[24][74/88],11.941,0.206,0.920
[24][75/88],12.359,0.224,0.960
[24][76/88],11.568,0.141,0.960
[24][77/88],11.068,0.376,0.880
[24][78/88],11.627,0.117,0.940
[24][79/88],12.043,0.209,0.920
[24][80/88],11.398,0.224,0.940
[24][81/88],12.753,0.230,0.920
[24][82/88],11.346,0.255,0.880
[24][83/88],11.943,0.240,0.920
[24][84/88],11.666,0.348,0.840
[24][85/88],11.829,0.126,0.980
[24][86/88],12.277,0.254,0.880
[24][87/88],12.028,0.329,0.920
[24][88/88],0.733,0.278,0.750
[25][1/88],9.074,0.196,0.920
[25][2/88],9.744,0.345,0.900
[25][3/88],10.778,0.112,1.000
[25][4/88],9.526,0.373,0.860
[25][5/88],10.127,0.215,0.900
[25][6/88],11.043,0.265,0.980
[25][7/88],10.972,0.346,0.900
[25][8/88],9.950,0.161,0.960
[25][9/88],9.479,0.232,0.900
[25][10/88],11.661,0.225,0.880
[25][11/88],10.528,0.104,0.960
[25][12/88],10.142,0.165,0.960
[25][13/88],10.594,0.180,0.900
[25][14/88],11.475,0.357,0.880
[25][15/88],10.937,0.215,0.940
[25][16/88],11.287,0.190,0.920
[25][17/88],11.335,0.343,0.880
[25][18/88],10.344,0.274,0.920
[25][19/88],11.291,0.093,1.000
[25][20/88],10.381,0.311,0.880
[25][21/88],11.097,0.244,0.880
[25][22/88],10.180,0.249,0.900
[25][23/88],10.854,0.117,0.960
[25][24/88],10.638,0.221,0.900
[25][25/88],11.316,0.244,0.920
[25][26/88],10.376,0.346,0.860
[25][27/88],11.577,0.156,0.960
[25][28/88],11.179,0.305,0.880
[25][29/88],10.844,0.167,0.960
[25][30/88],12.589,0.254,0.900
[25][31/88],11.487,0.185,0.900
[25][32/88],9.890,0.150,0.940
[25][33/88],12.742,0.231,0.920
[25][34/88],11.568,0.200,0.940
[25][35/88],11.919,0.193,0.940
[25][36/88],11.006,0.258,0.920
[25][37/88],12.625,0.245,0.900
[25][38/88],10.975,0.270,0.880
[25][39/88],11.561,0.314,0.900
[25][40/88],11.361,0.148,0.940
[25][41/88],11.916,0.228,0.920
[25][42/88],11.298,0.267,0.880
[25][43/88],12.697,0.282,0.920
[25][44/88],11.050,0.236,0.940
[25][45/88],12.387,0.198,0.940
[25][46/88],11.102,0.247,0.880
[25][47/88],12.242,0.168,0.920
[25][48/88],12.479,0.119,0.960
[25][49/88],11.826,0.204,0.940
[25][50/88],11.626,0.306,0.920
[25][51/88],12.131,0.345,0.880
[25][52/88],12.209,0.262,0.900
[25][53/88],12.023,0.353,0.920
[25][54/88],12.807,0.285,0.920
[25][55/88],11.311,0.148,0.980
[25][56/88],11.810,0.271,0.900
[25][57/88],11.070,0.189,0.920
[25][58/88],10.601,0.232,0.900
[25][59/88],11.313,0.260,0.920
[25][60/88],10.977,0.215,0.940
[25][61/88],11.534,0.126,0.960
[25][62/88],12.034,0.113,0.960
[25][63/88],11.958,0.343,0.860
[25][64/88],12.012,0.134,0.960
[25][65/88],11.629,0.266,0.920
[25][66/88],11.310,0.323,0.860
[25][67/88],11.645,0.252,0.920
[25][68/88],12.407,0.270,0.900
[25][69/88],11.710,0.290,0.920
[25][70/88],11.142,0.247,0.960
[25][71/88],10.540,0.322,0.860
[25][72/88],11.021,0.283,0.860
[25][73/88],12.090,0.175,0.960
[25][74/88],11.329,0.212,0.920
[25][75/88],11.093,0.280,0.900
[25][76/88],11.265,0.292,0.920
[25][77/88],11.636,0.146,0.960
[25][78/88],12.638,0.289,0.900
[25][79/88],11.263,0.362,0.860
[25][80/88],10.763,0.170,0.960
[25][81/88],11.921,0.198,0.920
[25][82/88],11.617,0.157,0.940
[25][83/88],12.237,0.191,0.940
[25][84/88],11.781,0.152,0.940
[25][85/88],10.863,0.265,0.940
[25][86/88],12.915,0.236,0.900
[25][87/88],12.014,0.238,0.920
[25][88/88],1.011,0.137,1.000
[26][1/88],9.963,0.165,0.960
[26][2/88],9.689,0.250,0.920
[26][3/88],9.538,0.179,0.940
[26][4/88],10.213,0.175,0.900
[26][5/88],8.683,0.194,0.940
[26][6/88],11.068,0.297,0.900
[26][7/88],10.628,0.155,0.960
[26][8/88],10.612,0.342,0.920
[26][9/88],9.957,0.300,0.920
[26][10/88],10.377,0.121,0.960
[26][11/88],9.833,0.158,0.940
[26][12/88],10.439,0.229,0.960
[26][13/88],10.874,0.360,0.900
[26][14/88],11.213,0.190,0.940
[26][15/88],10.320,0.127,0.960
[26][16/88],10.868,0.179,0.900
[26][17/88],11.002,0.310,0.940
[26][18/88],10.696,0.331,0.940
[26][19/88],10.881,0.110,0.960
[26][20/88],11.212,0.307,0.900
[26][21/88],10.373,0.254,0.880
[26][22/88],11.502,0.243,0.900
[26][23/88],10.437,0.162,0.920
[26][24/88],10.392,0.253,0.880
[26][25/88],10.429,0.327,0.880
[26][26/88],11.590,0.225,0.880
[26][27/88],11.697,0.108,0.960
[26][28/88],11.348,0.223,0.900
[26][29/88],10.483,0.373,0.840
[26][30/88],11.895,0.236,0.900
[26][31/88],11.030,0.205,0.940
[26][32/88],11.072,0.132,0.960
[26][33/88],11.097,0.171,0.960
[26][34/88],11.503,0.186,0.940
[26][35/88],11.227,0.191,0.940
[26][36/88],10.861,0.205,0.960
[26][37/88],11.670,0.190,0.940
[26][38/88],11.507,0.289,0.880
[26][39/88],11.405,0.399,0.900
[26][40/88],11.851,0.196,0.940
[26][41/88],11.173,0.191,0.900
[26][42/88],11.371,0.209,0.920
[26][43/88],11.104,0.143,0.920
[26][44/88],11.072,0.209,0.940
[26][45/88],12.341,0.227,0.920
[26][46/88],11.425,0.275,0.920
[26][47/88],10.785,0.396,0.880
[26][48/88],11.799,0.352,0.840
[26][49/88],11.993,0.139,0.940
[26][50/88],10.951,0.270,0.900
[26][51/88],11.247,0.281,0.900
[26][52/88],10.181,0.161,0.940
[26][53/88],12.274,0.341,0.880
[26][54/88],12.008,0.235,0.900
[26][55/88],11.559,0.180,0.960
[26][56/88],11.028,0.421,0.820
[26][57/88],12.344,0.335,0.860
[26][58/88],12.362,0.326,0.860
[26][59/88],11.510,0.265,0.900
[26][60/88],10.614,0.133,0.960
[26][61/88],11.179,0.310,0.880
[26][62/88],11.080,0.128,0.980
[26][63/88],11.800,0.317,0.920
[26][64/88],12.517,0.263,0.920
[26][65/88],10.781,0.318,0.920
[26][66/88],11.442,0.206,0.920
[26][67/88],11.658,0.253,0.900
[26][68/88],11.892,0.193,0.940
[26][69/88],11.294,0.333,0.880
[26][70/88],11.674,0.189,0.940
[26][71/88],11.857,0.201,0.940
[26][72/88],12.087,0.184,0.960
[26][73/88],12.214,0.239,0.920
[26][74/88],12.170,0.346,0.860
[26][75/88],12.438,0.369,0.920
[26][76/88],11.443,0.234,0.920
[26][77/88],10.849,0.124,0.980
[26][78/88],10.923,0.173,0.940
[26][79/88],12.212,0.240,0.920
[26][80/88],11.628,0.161,0.920
[26][81/88],10.985,0.298,0.920
[26][82/88],11.275,0.220,0.900
[26][83/88],10.494,0.192,0.920
[26][84/88],11.555,0.176,0.900
[26][85/88],12.287,0.219,0.920
[26][86/88],12.291,0.221,0.880
[26][87/88],11.914,0.095,1.000
[26][88/88],1.229,0.047,1.000
[27][1/88],9.524,0.247,0.900
[27][2/88],10.902,0.309,0.900
[27][3/88],9.775,0.265,0.860
[27][4/88],10.424,0.231,0.920
[27][5/88],10.348,0.245,0.900
[27][6/88],10.087,0.287,0.920
[27][7/88],9.578,0.130,0.940
[27][8/88],10.357,0.175,0.940
[27][9/88],9.981,0.141,0.920
[27][10/88],8.954,0.172,0.920
[27][11/88],9.257,0.188,0.920
[27][12/88],10.167,0.117,0.960
[27][13/88],11.022,0.175,0.960
[27][14/88],9.733,0.233,0.940
[27][15/88],11.688,0.222,0.940
[27][16/88],11.345,0.205,0.960
[27][17/88],10.545,0.280,0.920
[27][18/88],11.559,0.193,0.940
[27][19/88],10.565,0.165,0.940
[27][20/88],12.106,0.217,0.920
[27][21/88],10.423,0.138,0.940
[27][22/88],12.243,0.180,0.940
[27][23/88],11.003,0.194,0.920
[27][24/88],11.142,0.180,0.940
[27][25/88],10.739,0.258,0.920
[27][26/88],10.594,0.322,0.840
[27][27/88],10.356,0.217,0.920
[27][28/88],11.312,0.388,0.820
[27][29/88],10.295,0.289,0.900
[27][30/88],11.691,0.143,0.960
[27][31/88],10.597,0.251,0.920
[27][32/88],12.232,0.235,0.880
[27][33/88],11.818,0.147,0.960
[27][34/88],10.977,0.240,0.920
[27][35/88],11.496,0.176,0.940
[27][36/88],11.078,0.279,0.940
[27][37/88],11.683,0.408,0.840
[27][38/88],11.227,0.245,0.940
[27][39/88],11.470,0.558,0.860
[27][40/88],10.586,0.232,0.920
[27][41/88],12.159,0.510,0.900
[27][42/88],11.383,0.288,0.900
[27][43/88],11.818,0.264,0.880
[27][44/88],10.654,0.286,0.900
[27][45/88],10.795,0.118,0.980
[27][46/88],11.939,0.270,0.900
[27][47/88],11.532,0.175,0.920
[27][48/88],11.331,0.293,0.900
[27][49/88],12.428,0.260,0.880
[27][50/88],12.046,0.204,0.900
[27][51/88],12.386,0.249,0.900
[27][52/88],11.697,0.375,0.820
[27][53/88],11.903,0.259,0.940
[27][54/88],11.826,0.308,0.880
[27][55/88],11.106,0.314,0.900
[27][56/88],10.097,0.270,0.920
[27][57/88],11.329,0.267,0.900
[27][58/88],11.782,0.201,0.940
[27][59/88],11.112,0.148,0.960
[27][60/88],11.677,0.189,0.940
[27][61/88],11.204,0.193,0.960
[27][62/88],11.462,0.155,0.940
[27][63/88],11.208,0.255,0.900
[27][64/88],11.496,0.264,0.900
[27][65/88],11.076,0.307,0.940
[27][66/88],10.002,0.160,0.960
[27][67/88],11.937,0.213,0.940
[27][68/88],11.174,0.142,0.940
[27][69/88],12.476,0.217,0.940
[27][70/88],11.168,0.231,0.940
[27][71/88],11.578,0.214,0.940
[27][72/88],10.916,0.139,0.960
[27][73/88],12.376,0.316,0.840
[27][74/88],12.227,0.274,0.900
[27][75/88],11.753,0.099,0.960
[27][76/88],11.868,0.250,0.880
[27][77/88],12.782,0.364,0.840
[27][78/88],12.264,0.098,0.980
[27][79/88],11.483,0.189,0.920
[27][80/88],11.532,0.313,0.920
[27][81/88],10.492,0.266,0.920
[27][82/88],11.169,0.160,0.940
[27][83/88],12.046,0.136,0.980
[27][84/88],14.029,0.147,0.940
[27][85/88],11.102,0.235,0.920
[27][86/88],12.429,0.195,0.940
[27][87/88],11.838,0.264,0.920
[27][88/88],1.050,0.055,1.000
[28][1/88],10.696,0.147,0.920
[28][2/88],9.125,0.227,0.920
[28][3/88],11.120,0.090,0.980
[28][4/88],11.418,0.293,0.940
[28][5/88],10.157,0.224,0.920
[28][6/88],9.455,0.199,0.960
[28][7/88],10.794,0.235,0.900
[28][8/88],10.894,0.182,0.960
[28][9/88],9.495,0.428,0.880
[28][10/88],10.219,0.238,0.920
[28][11/88],11.572,0.159,0.960
[28][12/88],9.993,0.418,0.820
[28][13/88],10.826,0.127,0.980
[28][14/88],10.810,0.452,0.880
[28][15/88],11.223,0.237,0.900
[28][16/88],11.364,0.258,0.880
[28][17/88],10.307,0.265,0.920
[28][18/88],10.510,0.206,0.920
[28][19/88],9.563,0.242,0.900
[28][20/88],11.199,0.247,0.900
[28][21/88],10.561,0.199,0.920
[28][22/88],10.717,0.231,0.940
[28][23/88],11.397,0.185,0.920
[28][24/88],10.706,0.349,0.860
[28][25/88],10.683,0.429,0.840
[28][26/88],11.457,0.104,0.980
[28][27/88],12.706,0.333,0.900
[28][28/88],11.142,0.229,0.940
[28][29/88],10.320,0.342,0.880
[28][30/88],11.407,0.115,0.960
[28][31/88],10.884,0.158,0.960
[28][32/88],11.409,0.284,0.900
[28][33/88],12.420,0.273,0.900
[28][34/88],10.602,0.191,0.940
[28][35/88],11.013,0.336,0.820
[28][36/88],11.536,0.294,0.900
[28][37/88],10.675,0.208,0.920
[28][38/88],11.866,0.220,0.920
[28][39/88],10.775,0.129,0.940
[28][40/88],11.407,0.168,0.960
[28][41/88],11.042,0.451,0.840
[28][42/88],11.094,0.231,0.900
[28][43/88],11.113,0.231,0.920
[28][44/88],10.989,0.096,0.980
[28][45/88],10.420,0.251,0.880
[28][46/88],10.673,0.263,0.880
[28][47/88],10.999,0.193,0.960
[28][48/88],11.532,0.188,0.960
[28][49/88],11.669,0.160,0.940
[28][50/88],11.525,0.359,0.860
[28][51/88],11.840,0.232,0.920
[28][52/88],12.883,0.159,0.920
[28][53/88],9.768,0.200,0.940
[28][54/88],11.194,0.294,0.900
[28][55/88],12.043,0.195,0.900
[28][56/88],11.910,0.187,0.960
[28][57/88],11.104,0.453,0.880
[28][58/88],11.775,0.468,0.840
[28][59/88],11.854,0.182,0.920
[28][60/88],11.172,0.194,0.940
[28][61/88],11.321,0.246,0.920
[28][62/88],11.182,0.166,0.960
[28][63/88],12.083,0.138,0.940
[28][64/88],11.873,0.233,0.980
[28][65/88],12.727,0.115,0.980
[28][66/88],11.807,0.135,0.960
[28][67/88],10.807,0.334,0.860
[28][68/88],11.316,0.352,0.900
[28][69/88],11.063,0.185,0.920
[28][70/88],11.510,0.164,0.920
[28][71/88],12.435,0.331,0.900
[28][72/88],11.244,0.143,0.980
[28][73/88],11.651,0.241,0.900
[28][74/88],11.972,0.105,0.960
[28][75/88],11.942,0.219,0.900
[28][76/88],12.315,0.152,0.940
[28][77/88],12.297,0.268,0.900
[28][78/88],12.255,0.170,0.940
[28][79/88],11.929,0.265,0.940
[28][80/88],11.515,0.227,0.940
[28][81/88],12.334,0.221,0.900
[28][82/88],11.226,0.202,0.880
[28][83/88],11.196,0.170,0.940
[28][84/88],12.003,0.144,0.980
[28][85/88],11.846,0.182,0.940
[28][86/88],11.508,0.201,0.940
[28][87/88],11.664,0.365,0.820
[28][88/88],0.701,0.067,1.000
[29][1/88],11.163,0.307,0.920
[29][2/88],9.829,0.251,0.860
[29][3/88],10.189,0.188,0.920
[29][4/88],9.670,0.151,0.960
[29][5/88],10.699,0.231,0.900
[29][6/88],9.633,0.149,0.940
[29][7/88],11.052,0.264,0.920
[29][8/88],10.359,0.153,0.960
[29][9/88],11.066,0.274,0.880
[29][10/88],10.754,0.261,0.920
[29][11/88],10.482,0.312,0.880
[29][12/88],10.552,0.172,0.920
[29][13/88],10.164,0.178,0.920
[29][14/88],10.713,0.178,0.960
[29][15/88],10.333,0.271,0.920
[29][16/88],11.049,0.105,0.980
[29][17/88],10.677,0.227,0.860
[29][18/88],11.113,0.221,0.920
[29][19/88],11.953,0.327,0.920
[29][20/88],11.170,0.316,0.840
[29][21/88],9.389,0.136,0.940
[29][22/88],10.533,0.162,0.920
[29][23/88],10.651,0.157,0.980
[29][24/88],11.128,0.104,0.960
[29][25/88],11.378,0.207,0.900
[29][26/88],11.693,0.261,0.920
[29][27/88],11.976,0.155,0.940
[29][28/88],10.269,0.244,0.920
[29][29/88],10.405,0.217,0.920
[29][30/88],10.771,0.238,0.940
[29][31/88],11.372,0.208,0.940
[29][32/88],11.540,0.243,0.940
[29][33/88],11.895,0.345,0.860
[29][34/88],11.322,0.226,0.920
[29][35/88],11.393,0.312,0.920
[29][36/88],10.393,0.118,1.000
[29][37/88],11.828,0.203,0.920
[29][38/88],11.680,0.262,0.900
[29][39/88],10.413,0.306,0.920
[29][40/88],10.529,0.256,0.880
[29][41/88],11.236,0.495,0.900
[29][42/88],11.724,0.107,0.980
[29][43/88],10.759,0.304,0.900
[29][44/88],10.464,0.245,0.920
[29][45/88],11.563,0.198,0.900
[29][46/88],12.731,0.208,0.920
[29][47/88],11.516,0.303,0.880
[29][48/88],10.362,0.323,0.900
[29][49/88],11.259,0.222,0.900
[29][50/88],10.639,0.411,0.820
[29][51/88],12.728,0.309,0.900
[29][52/88],11.181,0.490,0.820
[29][53/88],11.963,0.235,0.900
[29][54/88],11.320,0.213,0.960
[29][55/88],11.710,0.226,0.920
[29][56/88],11.962,0.271,0.920
[29][57/88],12.195,0.354,0.860
[29][58/88],12.174,0.247,0.920
[29][59/88],10.741,0.191,0.940
[29][60/88],11.329,0.287,0.960
[29][61/88],10.263,0.346,0.860
[29][62/88],11.535,0.241,0.920
[29][63/88],11.299,0.200,0.920
[29][64/88],11.208,0.365,0.920
[29][65/88],12.632,0.283,0.920
[29][66/88],11.944,0.206,0.880
[29][67/88],10.748,0.155,0.940
[29][68/88],11.070,0.166,0.920
[29][69/88],12.916,0.168,0.940
[29][70/88],12.068,0.129,0.960
[29][71/88],12.211,0.323,0.880
[29][72/88],12.186,0.257,0.920
[29][73/88],11.004,0.219,0.900
[29][74/88],12.217,0.194,0.960
[29][75/88],13.051,0.162,0.960
[29][76/88],11.201,0.089,0.980
[29][77/88],12.588,0.320,0.880
[29][78/88],10.912,0.299,0.900
[29][79/88],12.190,0.222,0.900
[29][80/88],11.315,0.183,0.920
[29][81/88],11.480,0.172,0.940
[29][82/88],11.680,0.106,1.000
[29][83/88],11.201,0.200,0.920
[29][84/88],11.904,0.254,0.920
[29][85/88],11.814,0.163,0.960
[29][86/88],12.341,0.194,0.940
[29][87/88],11.902,0.136,0.960
[29][88/88],1.042,0.272,0.750
[30][1/88],10.392,0.223,0.860
[30][2/88],9.459,0.396,0.840
[30][3/88],9.709,0.181,0.940
[30][4/88],10.198,0.243,0.840
[30][5/88],9.350,0.125,0.940
[30][6/88],9.911,0.359,0.860
[30][7/88],10.691,0.232,0.920
[30][8/88],10.777,0.282,0.900
[30][9/88],10.436,0.199,0.920
[30][10/88],10.815,0.244,0.940
[30][11/88],8.967,0.198,0.900
[30][12/88],10.760,0.259,0.880
[30][13/88],9.935,0.320,0.880
[30][14/88],9.880,0.126,0.960
[30][15/88],10.709,0.209,0.920
[30][16/88],11.811,0.158,0.960
[30][17/88],10.341,0.163,0.960
[30][18/88],8.887,0.543,0.840
[30][19/88],10.709,0.209,0.900
[30][20/88],11.625,0.204,0.920
[30][21/88],10.696,0.371,0.880
[30][22/88],10.902,0.197,0.920
[30][23/88],10.771,0.286,0.920
[30][24/88],11.679,0.284,0.880
[30][25/88],10.621,0.204,0.920
[30][26/88],11.516,0.168,0.960
[30][27/88],11.949,0.159,0.940
[30][28/88],10.526,0.091,1.000
[30][29/88],11.624,0.192,0.920
[30][30/88],10.825,0.196,0.940
[30][31/88],11.244,0.124,0.960
[30][32/88],11.026,0.121,0.980
[30][33/88],10.728,0.326,0.880
[30][34/88],11.903,0.260,0.960
[30][35/88],11.156,0.244,0.900
[30][36/88],10.605,0.444,0.900
[30][37/88],12.560,0.242,0.900
[30][38/88],10.488,0.232,0.940
[30][39/88],12.336,0.139,0.980
[30][40/88],12.596,0.284,0.900
[30][41/88],12.515,0.251,0.940
[30][42/88],12.436,0.319,0.900
[30][43/88],11.634,0.193,0.920
[30][44/88],10.343,0.164,0.940
[30][45/88],11.924,0.309,0.900
[30][46/88],10.833,0.385,0.840
[30][47/88],11.236,0.349,0.860
[30][48/88],12.815,0.192,0.940
[30][49/88],10.737,0.307,0.900
[30][50/88],12.729,0.186,0.920
[30][51/88],11.272,0.215,0.940
[30][52/88],11.105,0.159,0.960
[30][53/88],10.925,0.168,0.920
[30][54/88],10.528,0.437,0.880
[30][55/88],10.345,0.301,0.900
[30][56/88],10.965,0.267,0.860
[30][57/88],11.448,0.175,0.920
[30][58/88],11.703,0.322,0.860
[30][59/88],11.177,0.134,0.960
[30][60/88],11.297,0.247,0.880
[30][61/88],11.838,0.177,0.980
[30][62/88],11.331,0.148,0.960
[30][63/88],11.117,0.092,0.960
[30][64/88],11.770,0.231,0.900
[30][65/88],12.477,0.220,0.900
[30][66/88],12.585,0.131,0.960
[30][67/88],11.252,0.260,0.920
[30][68/88],11.146,0.287,0.900
[30][69/88],12.499,0.299,0.860
[30][70/88],12.324,0.245,0.940
[30][71/88],11.354,0.113,0.960
[30][72/88],10.812,0.343,0.900
[30][73/88],11.279,0.185,0.920
[30][74/88],10.338,0.261,0.920
[30][75/88],12.234,0.296,0.920
[30][76/88],13.242,0.230,0.940
[30][77/88],10.698,0.320,0.900
[30][78/88],11.489,0.133,0.980
[30][79/88],12.287,0.227,0.940
[30][80/88],11.359,0.228,0.920
[30][81/88],11.177,0.280,0.920
[30][82/88],12.180,0.115,0.940
[30][83/88],12.225,0.184,0.960
[30][84/88],11.022,0.231,0.900
[30][85/88],11.645,0.095,0.980
[30][86/88],12.392,0.221,0.940
[30][87/88],11.850,0.232,0.920
[30][88/88],0.733,0.049,1.000
[31][1/88],9.809,0.112,0.960
[31][2/88],10.163,0.306,0.920
[31][3/88],9.525,0.212,0.900
[31][4/88],9.998,0.209,0.920
[31][5/88],10.329,0.208,0.920
[31][6/88],10.072,0.199,0.920
[31][7/88],9.678,0.167,0.920
[31][8/88],9.160,0.146,0.960
[31][9/88],9.518,0.222,0.920
[31][10/88],10.942,0.125,0.960
[31][11/88],10.822,0.186,0.940
[31][12/88],9.591,0.323,0.900
[31][13/88],10.508,0.142,0.960
[31][14/88],10.448,0.127,0.980
[31][15/88],10.284,0.168,0.940
[31][16/88],9.753,0.103,0.980
